Sportart 	olympisch 	Typ 	Teamgröße 	Ort der Ausübung 	Herkunft/Verbreitung
Hochsprung 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Hockey (Feldhockey) 	ja (seit 1908*) 	Torspiel 	11 	Kunstrasen, früher Rasen 	England
Hohe Schule 	nein 	Tiersport (Pferdesport) 			
Höhlenwandern 	nein 	Natursport 		Gelände 	
Hornussen 	nein 	Schlagballspiel 	16-20 	Wiese 	Schweiz
Horseball 	nein 	Tiersport (Pferdesport), Torspiel 	4 	Rasen 	
House-Running 	nein 	Seilsport 	1 	Stadt 	
Hunderennen 	nein 	Tierwettkampf 			
Hürdenlauf 	ja (seit 1896) 	Leichtathletik 	1 	Rennbahn 	
Hurling 	nein 	Torspiel 	15 	Rasen 	Irland
Indiaca 	nein 	Rückschlagspiel 	5 	Hartbelag 	Europa, Japan
Indoorcycling 	nein 	Radsport 		Halle 	
Inlinehockey 	nein 	Torspiel, Skating 	6 	Hartbelag 	
Inline-Skaterhockey 	nein 	Torspiel, Skating 	5 	Hartbelag 	Europa
Inlineskating 	nein 	Skating 	1 	Straße 	
Inline-Speedskating 	nein 	Skating, Geschwindigkeitssport 	1 und mehr 	Halle, Hartbelag, Straße 	
Intercrosse 	nein 	Torspiel 	5 	Hartbelag 	
International Rules Football 	nein 	Torspiel 		Rasen 	Australien, Irland
Irish Handball 	nein 	Rückschlagspiel 		Hartbelag 	Irland
Jahn-Wettkämpfe 	nein 	Mehrkampfsport 	1 		
Jai Alai 	nein 	Rückschlagspiel 	1 	Hartbelag 	Baskenland, Vereinigte Staaten
Jass 	nein 	Denksport 			
Jazz Dance 	nein 	Tanzsport 			Vereinigte Staaten
Jeu de palets 	nein 	Präzisionssport 	1 		
Jeu de Paume (Real Tennis) 	ehemalig (1908) 	Rückschlagspiel 	1-2 	Hartbelag 	
Jeu Provençal 	nein 	Präzisionssport, Kugelsport 	1-3 	Boulodrome 	
Jogo do pau 	nein 	Kampfsport 	1 		Portugal
Judo 	ja (seit 1964*) 	Kampfsport 	1 	Matte 	Japan
Jukskei 	nein 	Wurfsport 	4 	Sand, Rasen 	Südafrika, Namibia
Jugger 	nein 	Torspiel 	5 	Rasen 	Deutschland
Jiu-Jitsu 	nein 	Kampfsport 		Dōjō 	Japan
Ju-Jutsu 	nein 	Kampfsport 		Dōjō 	Deutschland
Kaatsen 	nein 	Rückschlagspiel 	3 		Belgien
Kabaddi 	nein 	Fangspiel 	12 	Rasen, Beach/Sand 	Indien, Südostasien
Kamelrennen 	nein 	Tiersport 	1 		Arabien, Australien
Kaninhop 	nein 	Tiersport 	1 		Schweden
Kanupolo 	nein 	Bootssport, Torspiel 	5 	Wasser 	
Kanurennsport 	ja (seit 1936) 	Bootssport 	1-8 	Wasser 	
Kanuslalom 	ja (seit 1972*) 	Bootssport 	1-2 	Wasser 	
Karate 	nein 	Kampfsport 		Dōjō 	Japan
Kartsport 	nein 	Motorsport 	1 	Rennstrecke 	
Kegelbillard 	nein 	Präzisionssport 	1 	Tisch 	
Kegeln 	nein 	Präzisionssport, Kegelsport 	6 	Anlage 	Deutschland, Amerika
Kendo 	nein 	Kampfsport 	1 		Japan
Kickball 	nein 	Schlagballspiel 		Rasen 	Vereinigte Staaten
Kickboxen 	nein 	Kampfsport 	1 	Matten, Boxring 	Vereinigte Staaten
Kiiking 	nein 	Kraftsport 	1 und mehr 	Anlage 	Estland
Kin-Ball 	nein 	Schlagballspiel 	4 	Hartbelag 	Kanada
Kitesurfen 	nein 	Drachensport, Brettsport 	1 	Wasser 	
Kitelandboarding 	nein 	Drachensport, Brettsport 	1 	Land 	
Klettern 	nein 	Bergsport 		Gelände, Anlage 	
Klippenspringen 	nein 	Springen 	1 	Wasser 	
Klootschießen 	nein 	Kugelsport 	1 und mehr 		Niedersachsen
Klotstockspringen 	nein 	Natursport 	1 	Gelände 	
Kniebeugen 	nein 	Kraftsport 	1 		
Korbball 	nein 	Torspiel 	5-7 	Halle, Rasen, Hartbelag 	Deutschland
Korbball (Schweiz) 	nein 	Torspiel 	5-6 	Halle, Rasen 	Schweiz
Korfball 	nein 	Torspiel 	8 	Hartbelag 	
Kraftdreikampf 	nein 	Mehrkampfsport, Kraftsport 	1 		
Kreuzheben 	nein 	Kraftsport 	1 		
Kubb 	nein 	Präzisionsspiel 	2 und mehr 	Rasen 	Skandinavien
Kugelstoßen 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Kung Fu 	nein 	Kampfsport 	1 		China
Kunst- und Turmspringen 	ja (seit 1904) 	Akrobatik 	1 	Wasser 	
Kunstflug (Flugakrobatik) 	nein 	Fliegen 	1 	Luft 	
Kunstradfahren 	nein 	Radsport 	1-6 	Hartbelag 	Europa
Kürbisweitwurf 	nein 	Werfen 	1 		
Kutterpullen 	nein 	Bootssport 	11-15 	Wasser 	Deutschland
Kyūdō 	nein 	Präzisionssport, Schießsport 			Japan
Lacrosse 	ehemalig (von 1904 bis 1908) 	Torspiel 	10 	Rasen 	Kanada, Vereinigte Staaten (indianisch)
Langbold 	nein 	Schlagballspiel 		Rasen 	Dänemark
Langstreckenlauf 	ja (seit 1896) 	Leichtathletik 	1 	Straße, Rennbahn 	
Lapta (Spiel) 	nein 	Schlagballspiel 		Rasen 	Russland
Lasergame 	nein 	Fangspiel, Schießsport 	2 und mehr 	Gelände 	
Lateinamerikanische Tänze 	nein 	Tanzsport 	2 	Parkett 	
Leichtathletik 	ja (seit 1896) 	Leichtathletik 	1-4 	Außenanlage 	
